Epoch,Train Loss,Val Loss
1,0.002071937994885957,0.0008637681350446656
2,0.0010803053316412843,0.0007679142236374901
3,0.0009513173713567084,0.0007598811759089585
4,0.00090131384615961,0.0007576427130734373
5,0.0008780849610629957,0.0007549744027601264
6,0.0008623177843255689,0.0007875922602252103
7,0.0008512966170019354,0.0007624078370317875
8,0.0008423666912858607,0.0007475581015896751
9,0.0008353215314127738,0.0007541379804424651
10,0.0008299981146410574,0.0007463726827918435
11,0.0008246979429386556,0.0007409763223622576
12,0.0008204755956248846,0.0007351818592505879
