Epoch,Train Loss,Val Loss
1,0.004434164655979723,0.003949320519867763
2,0.004263885828445674,0.0037976020069971114
3,0.004203801289950615,0.004164864853917993
4,0.004152969452999305,0.0036185577638197194
5,0.0041074784008345785,0.0039216761444109275
6,0.0038301921453948256,0.003501725816115871
7,0.0038148122686232273,0.00371842120997068
8,0.003790842780899099,0.0033711813558271572
9,0.003772025746700162,0.0035117511687056055
10,0.0037566344207705946,0.0035473820303059786
11,0.003610574065445438,0.0035294282603672267
