Epoch,Train Loss,Val Loss
1,0.008727970949192332,0.0008850381814779322
2,0.0015581399800024104,0.0007313867406951969
3,0.0014039366552182444,0.0007861458580897484
4,0.0013365273576119783,0.000695336337177276
5,0.0012813332238629114,0.0007208394307308205
6,0.0012488607881900005,0.0007292628411628472
7,0.0012237397007449145,0.0006767292963548605
8,0.0012007638497466668,0.000664905750185372
9,0.001183184714493557,0.0006820841694926419
10,0.0011654551287129332,0.0006832740852088401
11,0.001151887477155046,0.0006806297822753226
12,0.0011409524110812055,0.0006540818637292774
