Epoch,Train Loss,Val Loss
1,0.00387816990974577,0.003933941554569028
2,0.00302917660680309,0.0038407235076310785
3,0.002924950942920863,0.003520476585105122
4,0.0028767457314198687,0.003513956303352292
5,0.002844579350988602,0.0034932480687840956
6,0.002790474090221829,0.0033730415286773972
7,0.0027819666645635165,0.003573308088857299
8,0.0027718384077795337,0.003426284146822797
9,0.0027655036636146644,0.003356059868035537
10,0.0027602444347877364,0.003411136195675458
11,0.0027327339173243686,0.0033262532160916363
12,0.0027308030848387974,0.003309313354355015
13,0.002727969568472108,0.0033052506835241483
14,0.0027245680274067584,0.0032908558326440866
15,0.0027214175875636694,0.0032886542836186063
16,0.002707889097533355,0.003286377930140676
17,0.0027067672774149297,0.0032843217584209885
18,0.002705175783926192,0.0033004291870760835
19,0.0027036266855390532,0.003291353068360171
20,0.0027029580605830023,0.003284438189426465
