t,Actual_Mz1,Predicted_Mz1,Actual_Mz2,Predicted_Mz2,Actual_Mz3,Predicted_Mz3,Inference_Time_ms
0.618750000000006,-67.720955,-57.137115,-29.910067,-56.326393,-54.90203,-21.837366,189.12458419799805
0.625,-67.70136,-58.63668,-30.33984,-55.781696,-55.786877,-23.822586,0.5037784576416016
0.631250000000009,-68.07694,-60.66424,-30.781013,-55.471405,-56.730743,-25.683697,0.3113746643066406
0.637500000000003,-68.6388,-61.11557,-31.253384,-53.42094,-57.717293,-27.148558,0.30040740966796875
0.643750000000011,-69.11599,-61.087475,-31.661736,-54.36152,-58.617878,-26.336706,0.2925395965576172
0.650000000000006,-69.69177,-63.016483,-32.230476,-54.75484,-59.06376,-27.65302,0.29921531677246094
0.65625,-70.03561,-63.09994,-32.306107,-49.621902,-59.931736,-25.497396,0.2968311309814453
0.662500000000009,-70.261444,-61.77565,-33.230236,-51.676704,-60.154667,-25.85945,0.2932548522949219
0.668750000000003,-71.388596,-62.445465,-33.62681,-55.317253,-60.58234,-28.274445,0.3001689910888672
0.675000000000011,-71.38264,-64.245,-34.13935,-50.564545,-61.2349,-29.590294,0.2880096435546875
0.681250000000006,-72.08069,-62.160645,-34.52176,-52.426037,-61.98582,-28.95126,0.29969215393066406
0.6875,-72.66044,-62.944088,-35.39227,-54.95302,-62.433823,-28.359503,0.2892017364501953
0.693750000000009,-73.15904,-64.82275,-35.062943,-53.511177,-63.353752,-29.642971,0.3008842468261719
0.700000000000003,-73.66454,-63.907555,-35.75787,-51.69885,-63.957455,-29.656849,0.28705596923828125
0.706250000000011,-74.23163,-63.98083,-35.903427,-52.377796,-64.78285,-30.86733,0.29778480529785156
0.712500000000006,-74.87215,-65.56008,-35.895287,-51.28302,-65.48664,-33.0199,0.2884864807128906
0.71875,-75.40538,-64.85347,-35.879322,-50.548656,-66.38949,-30.347578,0.29206275939941406
0.725000000000009,-75.85157,-66.818886,-35.77243,-50.692547,-67.26205,-31.5787,0.28514862060546875
0.731250000000003,-76.47344,-65.35178,-35.61418,-50.626663,-68.05309,-31.102934,0.2868175506591797
0.737500000000011,-77.046234,-65.552986,-35.473656,-50.44794,-68.72296,-34.31808,0.2875328063964844
0.743750000000006,-77.623726,-66.84356,-35.33774,-50.753548,-69.699234,-33.07234,0.2880096435546875
0.75,-77.93268,-65.71409,-35.092934,-51.823124,-70.39967,-34.700474,0.28705596923828125
0.756250000000009,-78.234344,-67.5545,-34.943733,-53.39962,-71.243126,-34.24991,0.28705596923828125
0.762500000000003,-78.4961,-66.173645,-34.45192,-54.102318,-72.09242,-36.319595,0.2868175506591797
0.768750000000011,-78.42704,-65.81206,-34.37306,-51.211227,-72.70483,-35.173767,0.28824806213378906
0.775000000000006,-78.66627,-68.88525,-34.062447,-52.801685,-73.21493,-36.552937,0.28586387634277344
0.78125,-78.641235,-66.68986,-33.68502,-51.021477,-75.228065,-35.941204,0.28896331787109375
0.787500000000009,-78.445335,-67.893265,-33.289948,-49.337925,-74.04253,-36.67337,0.2944469451904297
0.793750000000003,-78.49269,-66.58318,-32.819942,-50.95403,-74.831535,-35.86528,0.2868175506591797
0.800000000000011,-78.39328,-68.222565,-32.613728,-50.076496,-74.78805,-38.80306,0.2970695495605469
0.806250000000006,-78.36404,-67.87812,-32.257164,-46.96457,-74.583626,-34.601246,0.28777122497558594
0.8125,-78.32654,-66.72095,-31.90775,-48.299133,-74.445114,-34.416756,0.2989768981933594
